figures,2012,2013,2014,2015,2016
SalesGrowth,0.11,0.10,0.16,0.16,0.10
ChangeInNI,1.16,0.74,-0.13,0.09,-0.26
ChangeInLongTermDebt,,,,,
TotalDebtRatio,0.46,0.49,0.50,0.49,0.50
DebtEquityRatio,0.86,0.96,0.99,0.94,1.00
EquityMultiplier,1.86,1.96,1.99,1.94,2.00
ProfitMargin,0.05,0.07,0.06,0.05,0.04
ROA,0.05,0.07,0.06,0.06,0.04
ROE,0.09,0.14,0.11,0.11,0.08
ReceivablesTurnover,3.29,2.99,3.70,3.15,2.69
TotalAssetTurnover,1.05,0.95,1.00,1.09,1.12
